label,description,joint0,joint1,joint2,joint3,joint4,joint5,joint6
open,完全打开，与 GUI 中 _simple_open_pose 对应,-0.15717165172100067,-0.41322529315948486,0.02846403606235981,0.17782948911190033,-0.025226416066288948,0.17983606457710266,-0.027690349146723747
closed,完全闭合，与 GUI 中 _simple_closed_pose 对应,0.07452802360057831,0.9478388428688049,1.766921877861023,-1.4442411661148071,-1.4384468793869019,-1.5298594236373901,-1.4153316020965576
middle,中间位置，准备抓取,0.0,0.65,0.8,0.7,0.7,0.7,0.7
pinch,拇指和食指捏取小物体,0.5,1.0,0.8,-0.1,-0.1,1.0,0.8
point,食指指向，其他手指闭合,0.0,1.4,1.2,1.2,1.2,-0.1,-0.1
peace,食指和中指伸出，拇指和其他手指闭合,0.0,1.4,1.2,-0.1,-0.1,-0.1,-0.1
ok,拇指和食指形成圆圈,0.5,1.0,0.8,1.2,1.2,1.0,0.8
rest,自然休息位置，轻微弯曲,0.0,0.2,0.3,0.3,0.3,0.3,0.3
light_grip,轻握，适合易碎物品,0.0,0.6,0.9,0.8,0.8,0.8,0.8
strong_grip,强力抓握，适合重物,0.0,1.2,1.4,1.2,1.2,1.2,1.2
show,展示手势，手掌朝外,-0.1,-0.3,0.1,0.0,-0.1,0.0,-0.1
fist,握拳状态,0.2,1.5,1.5,1.4,1.4,1.4,1.4
